subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,stim_reliability_level,r
1,audio,different_sds,1,2,0,3232.275655,4.00E-05,2,222.9860769,0,1,3
2,audio,different_sds,1,1,1,2797.440301,2.00E-04,1,249.4847642,1,2,4
2,audio,different_sds,1,2,0,2710.58992,0.02,2,132.045228,1,4,3
2,audio,different_sds,1,2,1,2740.827887,3.00E-04,1,334.1915578,1,3,3
2,audio,different_sds,2,1,0,2791.154088,3.00E-04,1,220.3423028,0,3,5
2,audio,different_sds,1,1,0,2299.771064,4.00E-05,2,103.7295815,0,1,4
2,audio,different_sds,1,2,1,2764.413334,0.02,1,317.8219822,1,4,3
3,audio,different_sds,1,1,1,2690.56183,2.00E-04,1,150.3686925,1,2,4
3,audio,different_sds,1,1,1,2544.469724,2.00E-04,1,325.9625456,1,2,4
3,audio,different_sds,2,1,0,2774.292165,2.00E-04,1,326.4248164,0,2,5
3,audio,different_sds,1,1,1,2876.247532,4.00E-05,1,315.3826094,1,1,4
3,audio,different_sds,1,2,1,2700.905738,3.00E-04,1,173.3085191,1,3,3
3,audio,different_sds,1,1,0,2597.07536,4.00E-05,2,106.6177034,1,1,4
4,audio,different_sds,2,1,1,2525.139376,4.00E-05,2,101.7500053,0,1,5
4,audio,different_sds,1,2,1,2743.670077,0.02,1,70.04960927,1,4,3
4,audio,different_sds,1,1,1,2806.285772,2.00E-04,1,352.2377622,1,2,4
4,audio,different_sds,2,2,0,2468.36383,2.00E-04,1,317.068031,1,2,6
4,audio,different_sds,2,4,1,3442.891227,0.02,2,120.971273,1,4,8
4,audio,different_sds,1,3,0,2393.635053,3.00E-04,2,289.936706,0,3,2
1,audio,different_sds,2,1,0,2480.974081,4.00E-05,1,323.7898472,1,1,5
1,audio,different_sds,1,2,1,2635.655433,3.00E-04,1,317.4001637,1,3,3
1,audio,different_sds,2,2,0,2884.6845,3.00E-04,1,123.0750357,0,3,6
1,audio,different_sds,2,3,1,2425.185798,0.02,2,35.54308928,1,4,7
1,audio,different_sds,2,1,1,3187.817943,4.00E-05,2,199.7876606,1,1,5
1,audio,different_sds,2,1,1,2370.128513,4.00E-05,2,90.96610996,1,1,5
2,audio,different_sds,1,1,0,2559.934494,4.00E-05,2,118.2717479,1,1,4
2,audio,different_sds,1,2,1,2754.742999,2.00E-04,1,243.1248673,1,2,3
2,audio,different_sds,2,1,1,1798.275656,2.00E-04,2,333.5146203,1,2,5
2,audio,different_sds,2,1,1,3458.842948,4.00E-05,2,97.31567973,1,1,5
2,audio,different_sds,2,1,1,3303.102569,4.00E-05,2,42.41778732,1,1,5
2,audio,different_sds,2,1,0,2948.961995,3.00E-04,1,280.4924796,1,3,5
3,audio,different_sds,1,1,1,2606.328594,4.00E-05,1,120.5971136,1,1,4
