subject_name,stim_type,task_type,resp_category,resp_confidence,resp_correct,stim_orientation,stim_reliability,stim_category,stim_length,ideal_accuracy,r,stim_reliability_level
3,visual,different_sds,2,2,0,6.653188583,0.067,1,239.2718148,1,6,3
3,visual,different_sds,2,4,1,-4.476639245,0.135,2,192.3252029,0,8,4
4,visual,different_sds,1,2,0,3.840855784,0.135,2,51.38970517,1,3,4
4,visual,different_sds,1,1,1,-2.470491213,0.033,1,278.2088702,1,4,1
4,visual,different_sds,2,3,1,-8.664423016,0.135,2,35.97292099,1,7,4
4,visual,different_sds,1,1,1,-2.920037383,0.067,1,107.8904611,1,4,3
4,visual,different_sds,1,1,0,-23.92173906,0.033,2,351.9637263,0,4,1
4,visual,different_sds,1,1,0,-14.65542426,0.05,2,300.0582374,0,4,2
5,visual,different_sds,1,1,0,-9.130564634,0.033,2,200.8553822,0,4,1
5,visual,different_sds,2,3,1,-12.11697569,0.05,2,45.58219933,1,7,2
5,visual,different_sds,1,2,0,7.675012256,0.067,2,157.4133978,0,3,3
5,visual,different_sds,1,1,0,-1.710241334,0.067,2,288.0146876,1,4,3
5,visual,different_sds,1,1,0,-7.699131471,0.033,2,213.3273839,0,4,1
5,visual,different_sds,1,1,1,0.912646465,0.05,1,14.73917922,1,4,2
6,visual,different_sds,1,1,1,2.237432403,0.135,1,340.8347413,1,4,4
6,visual,different_sds,1,1,1,-1.839971053,0.05,1,19.56011164,1,4,2
6,visual,different_sds,2,2,1,-12.09538172,0.05,2,165.2703933,1,6,2
6,visual,different_sds,2,1,1,9.105211842,0.135,2,215.9989265,1,5,4
6,visual,different_sds,1,3,0,-1.345009756,0.135,2,254.5591571,1,2,4
6,visual,different_sds,2,4,1,-22.09077503,0.067,2,131.4968323,1,8,3
7,visual,different_sds,1,2,0,-3.156813459,0.067,2,32.87512516,1,3,3
7,visual,different_sds,1,2,1,-4.22867295,0.135,1,174.9632857,1,3,4
7,visual,different_sds,1,1,0,2.752557179,0.033,2,177.3428886,1,4,1
7,visual,different_sds,1,3,1,3.522897521,0.135,1,11.6009826,1,2,4
7,visual,different_sds,2,2,0,3.658608232,0.135,1,30.25506921,0,6,4
7,visual,different_sds,1,1,0,7.688899223,0.05,2,103.1671721,0,4,2
